Seller_SP_ID,Product_SP_ID,Stock_Left,Product_Discount
10000000000,B006R3KBYO,42,32
10000000000,B001JKU7AI,118,30
10000000000,B00E1CIGAE,55,46
10000000000,B00007E9C9,112,34
10000000000,B000GKU7C0,68,32
10000000000,B003ZFPRHS,52,31
10000000000,B003XMWFAU,99,23
10000000000,B003ZUXNQA,61,27
10000000000,B000GK5XY2,106,35
10000000000,B001IY4MUQ,57,42
10000000000,B0088QU1NY,111,29
10000000000,B000XT30G4,66,41
10000000000,B001IXYOD2,68,26
10000000000,B001IYQ7QS,83,35
10000000000,B0040A12VW,21,40
10000000000,B000GKWA66,121,35
10000000000,B003X3R6TO,92,24
10000000000,B008HCXIU2,49,35
10000000000,B003U6HCGQ,79,35
10000000000,B000XDYLEK,85,17
10000000000,B003ULP59M,84,47
10000000000,B000GX31F2,59,28
10000000000,B00E1ABYSC,94,26
10000000000,B000GUZC2A,72,39
10000000000,B003VTM6IG,90,29
10000000000,B001KJL0S6,76,26
10000000000,B000056J76,111,50
10000000000,B003WG0040,110,34
10000000000,B001JTLEUQ,52,46
10000000000,B00E1CI2W6,61,36
10000000000,B00E1CI2TO,87,35
10000000000,B000GJIE4E,86,19
10000000000,B0042RU2SW,99,26
10000000000,B0043D28AU,109,40
10000000000,B0043IS18I,62,39
10000000000,B0043XG2Z2,42,32
10000000000,B0043XYXKI,98,29
10000000000,B0043YVL7U,63,32
10000000000,B00E8NGRUW,114,40
10000000000,B00440CZTQ,64,20
10000000000,B000G80R2W,13,41
10000000000,B0045508QC,62,39
10000000000,B0045I6IA4,109,30
10000000000,B001GQ2RWG,19,29
10000000000,B001GQ2RW6,45,36
10000000000,B0044TTRAM,26,30
10000000000,B0040GJ0UG,104,46
10000000000,B001H9NXEI,50,33
10000000000,B000YDDF6O,53,44
10000000000,B0040K4K2A,62,37
10000000000,B001I7TCQC,88,25
10000000000,B0040T6LUU,45,19
10000000000,B001I481LM,97,39
10000000000,B00E6NU674,74,38
10000000000,B0042D69XS,89,26
10000000000,B0085CBA90,77,25
10000000000,B0042D69UQ,122,34
10000000000,B0042D69VU,90,37
10000000000,B0042D69WO,42,39
10000000000,B00856QSL6,113,37
10000000000,B00008KWO1,28,50
